Metric,Mean,Std,Min,Max
accuracy,0.6034755273394186,0.006729214097142819,0.5959758551307847,0.6098149637972646
precision,0.6034439900914477,0.006748285926599195,0.5963402100112966,0.6101838154474711
recall,0.6034755273394186,0.006729214097142819,0.5959758551307847,0.6098149637972646
f1,0.6028911800576349,0.006561501308297475,0.5957619559523372,0.6093315033647335
mcc,0.5002236358150813,0.00824591089435183,0.49052195601908427,0.5080002641876628
auc_pr,0.6374175738764171,0.008718644782984003,0.623405136277213,0.645140973248226
e_accuracy,0.9036853138136947,0.0023514509065042754,0.8998390989541432,0.9054325955734407
n_samples,2485.6,0.5477225575051661,2485.0,2486.0
