Metric,Mean,Std,Min,Max
accuracy,0.5897977405867223,0.011252690151188885,0.5732099758648431,0.6037811745776348
precision,0.5898378428178654,0.010897957333699573,0.5727103775330795,0.6025725778286365
recall,0.5897977405867223,0.011252690151188885,0.5732099758648431,0.6037811745776348
f1,0.5888375506883698,0.011216201800147381,0.5720937389753433,0.6026530695052207
mcc,0.4846039241517399,0.013797415101564866,0.46369684993540633,0.5010971186510811
auc_pr,0.6136975454447822,0.008505313381270438,0.602486373886628,0.6229053391733118
e_accuracy,0.8949960098483094,0.005339624505665375,0.8877715205148834,0.9010060362173038
n_samples,2485.6,0.5477225575051661,2485.0,2486.0
