metric,mean,std,min,max,n_folds
accuracy,0.6041200380076113,0.004143013800887063,0.5969428801287209,0.6072434607645876,5
e_accuracy,0.8724651367577954,0.002380715235353488,0.869215291750503,0.8753016894609815,5
precision,0.6043814257116684,0.00452437096395792,0.5967491451640758,0.6085363409236434,5
recall,0.6041200380076113,0.004143013800887063,0.5969428801287209,0.6072434607645876,5
f1,0.602890489761982,0.00431948591220726,0.595376592844503,0.6062687972277271,5
mcc,0.5147956809856957,0.006094485078437951,0.504275566957331,0.519071069482808,5
auc_pr,0.6425233599313733,0.003159758101536486,0.6381008102417635,0.6469123539750385,5
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5
