accuracy,precision,recall,f1,mcc,auc_pr,e_accuracy,n_samples,fold,feature_mode
0.6098149637972646,0.609353681742423,0.6098149637972646,0.6093315033647335,0.5080002641876628,0.6410069324226376,0.8998390989541432,2486,1,full
0.6098149637972646,0.6101838154474711,0.6098149637972646,0.6086929632070527,0.5066197444802205,0.645140973248226,0.9050683829444892,2486,2,full
0.5969428801287209,0.5964304577595245,0.5969428801287209,0.5962617715147321,0.4922228550871815,0.6347967631333112,0.9050683829444892,2486,3,full
0.5959758551307847,0.5963402100112966,0.5959758551307847,0.5957619559523372,0.4905219560190842,0.623405136277213,0.9030181086519116,2485,4,full
0.6048289738430583,0.6049117854965228,0.6048289738430583,0.6044077062493183,0.5037533593012575,0.6427380643006979,0.9054325955734408,2485,5,full
