metric,mean,std,min,max,n_folds
accuracy,0.6034755273394186,0.006729214097142819,0.5959758551307847,0.6098149637972646,5
e_accuracy,0.9036853138136948,0.002351450906504321,0.8998390989541432,0.9054325955734408,5
precision,0.6034439900914477,0.006748285926599195,0.5963402100112966,0.6101838154474711,5
recall,0.6034755273394186,0.006729214097142819,0.5959758551307847,0.6098149637972646,5
f1,0.6028911800576349,0.006561501308297475,0.5957619559523372,0.6093315033647335,5
mcc,0.5002236358150812,0.00824591089435186,0.4905219560190842,0.5080002641876628,5
auc_pr,0.6374175738764171,0.008718644782984003,0.623405136277213,0.645140973248226,5
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5
