metric,mean,std,min,max,n_folds
accuracy,0.28918534537878926,0.003156466864519359,0.28450704225352114,0.2924376508447305,5
e_accuracy,0.615381751490439,0.023130772288030434,0.5790744466800805,0.6419951729686243,5
precision,0.3156110016980659,0.008897097415477487,0.3013449173540804,0.32534417451941955,5
recall,0.28918534537878926,0.003156466864519359,0.28450704225352114,0.2924376508447305,5
f1,0.29470262057495017,0.00170003837687568,0.29228996512992117,0.29706469514262795,5
mcc,0.1519025530074615,0.0054705106545412845,0.14760290100472645,0.15941965771634828,5
auc_pr,0.3127960497176522,0.006016143462102547,0.3058506926446709,0.32003452124092163,5
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5
