metric,mean,std,min,max,n_folds
accuracy,0.5375769338476555,0.005783728263620753,0.5289621882542237,0.5430410297666934,5
e_accuracy,0.8607174179428947,0.0029527746475983717,0.8583501006036217,0.8656476267095736,5
precision,0.5391417704068664,0.004531734508422627,0.5330425089220808,0.5437616297738241,5
recall,0.5375769338476555,0.005783728263620753,0.5289621882542237,0.5430410297666934,5
f1,0.5370408312973349,0.0055784911227062224,0.5297681314507621,0.5418445112600231,5
mcc,0.43341536867560626,0.00673055863787223,0.4231024568852561,0.43921673808133344,5
auc_pr,0.5846632027880478,0.008982261418384341,0.5711244656327703,0.5963587271026385,5
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5
