metric,mean,std,min,max,n_folds
accuracy,0.39402927622047657,0.013173152147333665,0.3801287208366854,0.41150442477876104,5
e_accuracy,0.781943859456012,0.00606701506246914,0.7739340305711987,0.7888173773129525,5
precision,0.40458449781861594,0.012210030889978313,0.38893593137455273,0.416865229662815,5
recall,0.39402927622047657,0.013173152147333665,0.3801287208366854,0.41150442477876104,5
f1,0.39370807393146307,0.013065849150613831,0.379213727398113,0.4101716216880902,5
mcc,0.25188148110658953,0.015234996345730122,0.23440148865713992,0.26996788048740067,5
auc_pr,0.41743241977708356,0.014130992643040657,0.40541953071897213,0.4349019068844751,5
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5
