accuracy,precision,recall,f1,mcc,auc_pr,e_accuracy,n_samples,fold_idx
0.5740144810941271,0.5768021242325948,0.5740144810941271,0.5725615345019041,0.4806522324769134,0.6145753261354427,0.8491552695092518,2486,1
0.5740144810941271,0.5768852634315724,0.5740144810941271,0.5726727413131083,0.478861755986468,0.6109870881704218,0.8543845534995977,2486,2
0.5973451327433629,0.5995726711024454,0.5973451327433629,0.5909727136661606,0.5095894059037569,0.6210640379651606,0.8588093322606597,2486,3
0.5798792756539235,0.5896102188543467,0.5798792756539235,0.5764027917738922,0.4869944822385319,0.6188074740874886,0.8519114688128773,2485,4
0.5847082494969819,0.5871869632114628,0.5847082494969819,0.5824559145290827,0.49194305904776797,0.6204784325372752,0.855533199195171,2485,5
