Metric,Mean,Std,Min,Max
accuracy,0.5819923240165046,0.009680417292011032,0.5740144810941271,0.5973451327433629
precision,0.5860114481664844,0.009569987574948492,0.5768021242325948,0.5995726711024454
recall,0.5819923240165046,0.009680417292011032,0.5740144810941271,0.5973451327433629
f1,0.5790131391568296,0.0078025938893383755,0.5725615345019041,0.5909727136661606
mcc,0.4896081871306876,0.01232098910282387,0.478861755986468,0.5095894059037569
auc_pr,0.6171824717791579,0.004293906506445729,0.6109870881704218,0.6210640379651606
e_accuracy,0.8539587646555116,0.0036555824515028448,0.8491552695092518,0.8588093322606597
n_samples,2485.6,0.5477225575051661,2485.0,2486.0
