metric,mean,std,min,max,n_folds
accuracy,0.486160535214505,0.012455790891540381,0.4708249496981891,0.5046277665995976,5
e_accuracy,0.8511426078595467,0.005418287730983006,0.8455349959774738,0.8596138374899437,5
precision,0.48783613778486534,0.015641335876439143,0.4709973821757158,0.5128726262332423,5
recall,0.486160535214505,0.012455790891540381,0.4708249496981891,0.5046277665995976,5
f1,0.48536418645239,0.011967274154297877,0.4706133008727809,0.5024923519234602,5
mcc,0.3540160835485652,0.01735822036978916,0.3335947087310959,0.38068473175391276,5
auc_pr,0.5207553942950233,0.011382118385912939,0.5098258319091582,0.5377858843278707,5
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5
