accuracy,precision,recall,f1,mcc,auc_pr,e_accuracy,n_samples,fold,feature_mode
0.4879324215607401,0.48850526401009586,0.4879324215607401,0.4881306631517224,0.3558829788221023,0.5189549148004667,0.8455349959774738,2486,1,sequence
0.47988736926790027,0.47962926268073647,0.47988736926790027,0.47826365406947413,0.34545473753622785,0.5116687122778959,0.8479485116653258,2486,2,sequence
0.48753016894609813,0.48717615382453633,0.48753016894609813,0.48732096224451266,0.354463260899487,0.5255416281597246,0.8596138374899437,2486,3,sequence
0.4708249496981891,0.4709973821757158,0.4708249496981891,0.4706133008727809,0.3335947087310959,0.5098258319091582,0.8498993963782696,2485,4,sequence
0.5046277665995976,0.5128726262332423,0.5046277665995976,0.5024923519234602,0.38068473175391276,0.5377858843278707,0.8527162977867203,2485,5,sequence
