parameter,feature_mode,accuracy,e_accuracy,mcc,f1,precision,recall,auc_pr
km,full,0.603 +/- 0.007,0.904 +/- 0.002,0.500 +/- 0.008,0.603 +/- 0.007,0.603 +/- 0.007,0.603 +/- 0.007,0.637 +/- 0.009
km,sequence,0.486 +/- 0.012,0.851 +/- 0.005,0.354 +/- 0.017,0.485 +/- 0.012,0.488 +/- 0.016,0.486 +/- 0.012,0.521 +/- 0.011
km,substrate,0.394 +/- 0.013,0.782 +/- 0.006,0.252 +/- 0.015,0.394 +/- 0.013,0.405 +/- 0.012,0.394 +/- 0.013,0.417 +/- 0.014
